PI,Twitter Username
Afra Alishahi,afraalishahi
Alexander Huth,alex_ander
Allyson Ettinger,
Andrea E. Martin,andrea_e_martin
Andrew Saxe,SaxeLab
Anna Schapiro,AnnaSchapiro
Aude Oliva,AudeOliva
Becky Jackson,beckyJ_1989
Blake Richards,tyrell_turing
Brad Wyble,bradpwyble
Carsen Stringer,computingnature
Cassandra Jacobs,BayesForDays
Christopher Summerfield,
Dan Goodman,neuralreckoning
Daniel Graham,BrainAsInternet
Daniel Yamins,
Devika Narain,NarainNeuro
Doris Tsao,doristsao
Edward Vessel,EdwardVessel
Ellie Pavlick,
Evelina (Ev) Fedorenko,ev_fedorenko
Fabio Cuzzolin,fabio_cuzzolin
Gemma Roig,
George Alvarez,grez72
Grace Lindsay,neurograce
Grace W. Lindsay,
Grzegorz Chrupala,gchrupala
Gunnar Blohm,GunnarBlohm
Hayriye Cagnan,hcagnan
Heida Maria Sigurdardottir,heidasigurdar
Ida Momennejad,criticalneuro
Ila Fiete,
Jakub Szymanik,Logic_Cognition
James DiCarlo,
Jane Wang,janexwang
Jean-Rémi King,JeanRemiKing
Jeffrey Bowers,
Joao Barbosa,jmourabarbosa
Jonas Kubilius,
Joshua T. Vogelstein,neuro_data
Judith E. Fan,judyefan
Kanaka Rajan,KanakaRajanPhD
Kate Storrs,katestorrs
Kim Stachenfeld,neuro_kim
Konrad Kording,koerding
Leila Wehbe,
Leyla Isik,leylaisi
Lisa Beinborn,lisabeinborn
Lore Goetschalckx,L_Goetschalckx
Maizie Zhou,maiziezhou
Marcel van Gerven,marcelge
Marieke Mur,marieke_mur
Marius Pachitariu,marius10p
Martin Hebart,martin_hebart
Maryam Shanechi,MaryamShanechi
Najoung Kim,najoungkim
Nicole C Rust,NicoleCRust
Nikolaus Kriegeskorte,KriegeskorteLab
Nora Hollenstein,norahollenstein
Olivia Guest,o_guest
Patrick Mineault,patrickmineault
Raffaella Bernardi,raffagbernardi
Raquel Fernández,raquel_dmg
Rebecca Saxe,rebecca_saxe
Rhodri Cusack,rhodricusack
Romain Brette,
Rufin VanRullen,
Sandro Pezzelle,sandropezzelle
Satoshi Nishida,nisider
Shane Steinert-Threlkeld,ssshanest
Shinji Nishimoto,NishimotoShinji
Shreya Saxena,shreyaneuroctrl
Srdjan Ostojic,ostojic_srdjan
Stefan Frank,StefanLFrank
Stefano Anzellotti,steanze
SueYeon Chung,s_y_chung
Sunny Tang,STANGlab
Talia Konkle,talia_konkle
Thomas Hannagan,
Thomas Serre,
Tim Behrens,behrenstimb
Tim Kietzmann,TimKietzmann
Wilma Bainbridge,WilmaBainbridge
Wolf-Julian Neumann,neumann_wj
Yalda Mohsenzadeh,Yalda_Mhz
Yann LeCun,
Yuki Kamitani,ykamit
